book_id,title,source,tag,verdict,tag_memo
4,러시아 제국 연구,notion,#러시아제국,적절,
4,러시아 제국 연구,notion,#제국주의시대,적절,
4,러시아 제국 연구,notion,#역사연구,적절,
4,러시아 제국 연구,notion,#동유럽역사,적절,
4,러시아 제국 연구,notion,#러시아사회,적절,
13,아버지 없는 세상의 아들들,notion,#아버지의부재,적절,
13,아버지 없는 세상의 아들들,notion,#성애철학,오태깅,
13,아버지 없는 세상의 아들들,notion,#내면의여성,은유혼동,
13,아버지 없는 세상의 아들들,notion,#존재론적불안,적절,
13,아버지 없는 세상의 아들들,notion,#현대인의고독,오태깅,
17,아포칼립스,notion,#흑사병,오태깅,지엽적
17,아포칼립스,notion,#신분제,오태깅,지엽적
17,아포칼립스,notion,#역사적종말,적절,
17,아포칼립스,notion,#대유행,은유혼동,
17,아포칼립스,notion,#인류의위기,적절,
22,욕망의 음식,notion,#중세기독교,오태깅,지엽적
22,욕망의 음식,notion,#욕망의식각,오태깅,
22,욕망의 음식,notion,#음식의역사,적절,
22,욕망의 음식,notion,#침고이는이야기,적절,
22,욕망의 음식,notion,#식습치의미,오태깅,
24,엄마가 된 걸 후회한다고 말했다,notion,#엄마의후회,적절,
24,엄마가 된 걸 후회한다고 말했다,notion,#출산후조현상,적절,
24,엄마가 된 걸 후회한다고 말했다,notion,#여성의삶,적절,
24,엄마가 된 걸 후회한다고 말했다,notion,#가족관계,적절,
24,엄마가 된 걸 후회한다고 말했다,notion,#양육의고민,적절,
32,"여자, 기록을 가로채다",notion,#한국사속여성,적절,
32,"여자, 기록을 가로채다",notion,#기록의역학,적절,
32,"여자, 기록을 가로채다",notion,#여성의삶의기록,적절,
32,"여자, 기록을 가로채다",notion,#기생과여성,적절,
32,"여자, 기록을 가로채다",notion,#역사속주체적여성,적절,
32,"여자, 기록을 가로채다",notion,#역사기록,적절,
48,싫으니까 싫어,notion,#싫음의감정,적절,
48,싫으니까 싫어,notion,#어린이문학,적절,
48,싫으니까 싫어,notion,#유령과눈사람,오태깅,
48,싫으니까 싫어,notion,#감정표현,적절,
48,싫으니까 싫어,notion,#인간관계,적절,
58,인생여전,notion,#노동의문제,적절,
58,인생여전,notion,#생계와삶,적절,
58,인생여전,notion,#빈부격차,적절,
58,인생여전,notion,#사회적불평등,적절,
58,인생여전,notion,#일과정체,은유혼동,
70,삶에게 웃으며 말 거는 법,notion,#삶의의미,은유혼동,
70,삶에게 웃으며 말 거는 법,notion,#긍정심리,적절,
70,삶에게 웃으며 말 거는 법,notion,#유머와행복,적절,
70,삶에게 웃으며 말 거는 법,notion,#마음가짐의중요성,적절,
70,삶에게 웃으며 말 거는 법,notion,#철학적성찰,적절,
75,기독교 - 이슬람 전쟁사,notion,#기독교역사,적절,
75,기독교 - 이슬람 전쟁사,notion,#이슬람전쟁사,적절,
75,기독교 - 이슬람 전쟁사,notion,#종교전쟁,적절,
75,기독교 - 이슬람 전쟁사,notion,#서구사관,오태깅,
75,기독교 - 이슬람 전쟁사,notion,#종교전쟁사본류,은유혼동,본류 불필요
85,잠과 영혼,notion,#SF소설,적절,
85,잠과 영혼,notion,#로봇과영혼,적절,
85,잠과 영혼,notion,#복제인간,적절,
85,잠과 영혼,notion,#정체성,적절,
85,잠과 영혼,notion,#인공지능,적절,
87,로저 프라이,notion,#로저프라이,적절,
87,로저 프라이,notion,#세잔마티스,오태깅,지엽적
87,로저 프라이,notion,#현대미술이론,적절,
87,로저 프라이,notion,#미술비평,적절,
87,로저 프라이,notion,#예술가의시선,적절,
89,언어는 어떻게 인간을 바꾸는가,notion,#언어와인간관계,적절,
89,언어는 어떻게 인간을 바꾸는가,notion,#언어와심리,적절,
89,언어는 어떻게 인간을 바꾸는가,notion,#문화심리학,오태깅,
89,언어는 어떻게 인간을 바꾸는가,notion,#의사소통과윤리,적절,
89,언어는 어떻게 인간을 바꾸는가,notion,#언어의사회영향,적절,
99,바로크의 로마,notion,#바로크예술,적절,
99,바로크의 로마,notion,#로마역사,적절,
99,바로크의 로마,notion,#가톨릭교회,오태깅,지엽적
99,바로크의 로마,notion,#예술과종교,적절,
99,바로크의 로마,notion,#17세기미술,적절,
99,바로크의 로마,notion,#문화와예술,적절,
132,너무 희미한 존재들,notion,#성장강요,적절,
132,너무 희미한 존재들,notion,#은둔청년,적절,
132,너무 희미한 존재들,notion,#정치적상황,오태깅,
132,너무 희미한 존재들,notion,#사회적고립,적절,
132,너무 희미한 존재들,notion,#세대갈등,적절,
132,너무 희미한 존재들,notion,#사회적안전망,적절,
141,눈에 보이지 않는 전쟁과 돈의 역사,notion,#전쟁과돈,적절,
141,눈에 보이지 않는 전쟁과 돈의 역사,notion,#돈의흐름,적절,
141,눈에 보이지 않는 전쟁과 돈의 역사,notion,#폭력과전쟁,적절,
141,눈에 보이지 않는 전쟁과 돈의 역사,notion,#전쟁의역사,적절,
141,눈에 보이지 않는 전쟁과 돈의 역사,notion,#돈의역사,적절,
141,눈에 보이지 않는 전쟁과 돈의 역사,notion,#국제정세,적절,
158,브레이크넥,notion,#미국사회,은유혼동,
158,브레이크넥,notion,#중국경제,적절,
158,브레이크넥,notion,#시스템충돌,은유혼동,
158,브레이크넥,notion,#변호사의나라,은유혼동,
158,브레이크넥,notion,#엔지니어의나라,은유혼동,
158,브레이크넥,notion,#미중갈등,적절,
158,브레이크넥,notion,#국제질서,적절,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#고독사,적절,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#1인가구,적절,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#존엄한죽음,적절,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#사회적고립,오태깅,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#건강관리,오태깅,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#자기결정,오태깅,
179,혼자가 좋지만 고독사는 걱정입니다 : 누구에게도 의존하지 않고 존엄하게 떠나는 법,nlk,#개인적대비책,적절,
198,출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙,nlk,#현대인의불안,적절,
198,출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙,nlk,#뇌와행동,오태깅,
198,출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙,nlk,#상실이후의삶,오태깅,
198,출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙,nlk,#심리적회복,적절,
198,출근길 심리학 : 단단하고 유연한 멘탈을 위한 33가지 마음의 법칙,nlk,#스트레스관리,적절,
208,(조용하고 끈질기게 살아남은) 잡초들의 전략,nlk,#생명전략,적절,
208,(조용하고 끈질기게 살아남은) 잡초들의 전략,nlk,#식물학,적절,
208,(조용하고 끈질기게 살아남은) 잡초들의 전략,nlk,#생존기술,적절,
208,(조용하고 끈질기게 살아남은) 잡초들의 전략,nlk,#환경적응,적절,
208,(조용하고 끈질기게 살아남은) 잡초들의 전략,nlk,#자연의지혜,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#고립청년,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#여성청년,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#여성고립,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#자살위험,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#코로나19,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#사회적고립,적절,
210,이렇게 누워만 있어도 괜찮을까 : 오늘도 고립의 시간을 살아가는 여성 청년들,nlk,#사회적안전망,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#빈곤과불평등,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#청소년기,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#사회적고립,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#가정환경,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#청소년빈곤,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#청년빈곤,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#더나은공동체,적절,
218,"가난한 아이들은 어떻게 어른이 되는가 : 빈곤과 청소년, 10년의 기록",nlk,#사회적안전망,적절,
221,내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,nlk,#자기인식,적절,
221,내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,nlk,#내면탐구,적절,
221,내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,nlk,#인간심리,적절,
221,내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,nlk,#존재론적질문,적절,
221,내가 누구인지 아는 것이 왜 중요한가 : 그간 외면해온 외로운 나에게 인생을 묻다,nlk,#고독과소통,적절,
238,텔로미어,nlk,#텔로미어,적절,
238,텔로미어,nlk,#노화와수명,적절,
238,텔로미어,nlk,#생명진화,적절,
238,텔로미어,nlk,#세포분열,오태깅,
238,텔로미어,nlk,#염색체과학,오태깅,
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",nlk,#문해력저하,적절,
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",nlk,#텍스트읽기,적절,
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",nlk,#미디어시대,적절,
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",nlk,#인문학적위기,적절,
252,"기울어진 문해력 : 끊어진 대화의 시대, 텍스트와 세상을 새롭게 읽는 법",nlk,#독서습관,적절,
253,100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,nlk,#우주역사,적절,
253,100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,nlk,#과학의물리학,오태깅,
253,100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,nlk,#천체관측,적절,
253,100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,nlk,#NASA,적절,
253,100가지 물건으로 보는 우주의 역사 : NASA 과학자가 선정한 인류의 지혜로운 도구들,nlk,#인문과학,적절,
259,AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,nlk,#인공지능과인간,적절,
259,AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,nlk,#내면의힘,적절,
259,AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,nlk,#내면경쟁력,적절,
259,AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,nlk,#인간다움,적절,
259,AI를 압도하는 내면 경쟁력 : 나의 가능성을 발견하는 7가지 인간다움의 힘,nlk,#심리학,적절,
272,단단한 행복 : 아리스토텔레스에게 배우는 행복에 관한 철학 수업,nlk,#아리스토텔레스,적절,
272,단단한 행복 : 아리스토텔레스에게 배우는 행복에 관한 철학 수업,nlk,#행복의철학,적절,
272,단단한 행복 : 아리스토텔레스에게 배우는 행복에 관한 철학 수업,nlk,#가치있는삶,적절,
272,단단한 행복 : 아리스토텔레스에게 배우는 행복에 관한 철학 수업,nlk,#본질적행복,적절,
272,단단한 행복 : 아리스토텔레스에게 배우는 행복에 관한 철학 수업,nlk,#영혼의성장,적절,
290,잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙,nlk,#대화의원칙,적절,
290,잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙,nlk,#소통의기술,적절,
290,잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙,nlk,#갈등해결,적절,
290,잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙,nlk,#경청의미,오태깅,경청의중요성
290,잠시 멈춤 : 논쟁은 줄이고 소통은 더하는 대화의 원칙,nlk,#관계의심리학,적절,
291,"호랑이는 숲에 살지 않는다 : 멸종, 공존 그리고 자연의 질서에 관한 이야기",nlk,#호랑이보전,적절,
291,"호랑이는 숲에 살지 않는다 : 멸종, 공존 그리고 자연의 질서에 관한 이야기",nlk,#생태계파괴,적절,
291,"호랑이는 숲에 살지 않는다 : 멸종, 공존 그리고 자연의 질서에 관한 이야기",nlk,#공존과생명,적절,
